signal_name,module_name,fanin,fanout,signal_width,op_type,op_complexity,nesting_depth,operation_count,has_mul,has_add,in_loop,is_registered,module_input_count,conditional_mux_count,actual_depth,source_file
out,module_a,3,0,1,AND,1,0,2,0,0,0,0,1,0,3,module_1.v
out,module_b,4,0,1,AND,1,0,3,0,0,0,0,1,0,3,module_2.v
abs_diff,abs_difference_8bit,2,0,8,SUB,6,0,4,0,1,0,0,1,1,7,abs_difference_8bit.v
result,alu_16bit,2,2,16,MUL,15,1,1,1,0,0,0,2,16,17,alu_16bit.v
carry,alu_16bit,0,0,1,OTHER,3,1,0,0,0,0,0,2,16,6,alu_16bit.v
product,array_multiplier_16bit,2,0,32,MUL,15,0,1,1,0,0,0,1,0,18,array_multiplier_16bit.v
product,array_multiplier_4bit,2,0,8,MUL,15,0,1,1,0,0,0,1,0,12,array_multiplier_4bit.v
product,array_multiplier_8bit,2,0,16,MUL,15,0,1,1,0,0,0,1,0,15,array_multiplier_8bit.v
out,barrel_shifter_arith_16bit,2,0,16,SHL,4,1,2,0,0,0,0,3,0,11,barrel_shifter_arith_16bit.v
out,barrel_shifter_left_8bit,2,0,8,SHL,4,0,2,0,0,0,0,2,0,7,barrel_shifter_left_8bit.v
out,barrel_shifter_right_8bit,2,0,8,SHR,4,0,2,0,0,0,0,2,0,7,barrel_shifter_right_8bit.v
sum,bcd_adder,2,0,4,ADD,6,0,3,0,1,0,0,2,1,5,bcd_adder.v
cout,bcd_adder,3,0,1,CMP,5,0,2,0,0,0,0,2,1,4,bcd_adder.v
tmp,bcd_adder,3,2,5,ADD,6,0,2,0,1,0,0,2,0,8,bcd_adder.v
binary,bcd_to_binary_8bit,2,0,7,MUL,15,0,2,1,1,0,0,1,0,12,bcd_to_binary_8bit.v
out,binary_decoder_3to8,4,0,8,SHL,4,0,3,0,0,0,0,2,1,8,binary_decoder_3to8.v
out,binary_encoder_8to3,1,0,3,OTHER,3,1,0,0,0,0,0,1,8,6,binary_encoder_8to3.v
gray,binary_to_gray_8bit,1,0,8,SHR,4,0,3,0,0,0,0,1,0,7,binary_to_gray_8bit.v
and_out,bitwise_ops_8bit,2,0,8,AND,1,0,1,0,0,0,0,1,0,2,bitwise_ops_8bit.v
sum,carry_lookahead_adder_8bit,3,0,8,XOR,2,0,2,0,0,0,0,2,0,4,carry_lookahead_adder_8bit.v
cout,carry_lookahead_adder_8bit,1,0,1,OTHER,3,0,0,0,0,0,0,2,0,4,carry_lookahead_adder_8bit.v
g,carry_lookahead_adder_8bit,2,1,8,AND,1,0,1,0,0,1,0,2,0,2,carry_lookahead_adder_8bit.v
c,carry_lookahead_adder_8bit,1,3,9,OTHER,3,0,0,0,0,1,0,2,0,4,carry_lookahead_adder_8bit.v
sum,carry_select_adder_8bit,4,0,8,MUX,2,0,1,0,0,0,0,2,1,4,carry_select_adder_8bit.v
cout,carry_select_adder_8bit,3,0,1,MUX,2,0,1,0,0,0,0,2,1,4,carry_select_adder_8bit.v
sum_lo,carry_select_adder_8bit,1,1,4,OTHER,3,0,0,0,0,0,0,2,0,4,carry_select_adder_8bit.v
sum_hi0,carry_select_adder_8bit,1,1,4,OTHER,3,0,0,0,0,0,0,2,0,4,carry_select_adder_8bit.v
cout_lo,carry_select_adder_8bit,1,2,1,OTHER,3,0,0,0,0,0,0,2,0,4,carry_select_adder_8bit.v
clamped,clamp_unit_8bit,3,0,8,CMP,5,0,4,0,0,0,0,2,2,6,clamp_unit_8bit.v
crc,crc4_8bit_data,1,0,4,OTHER,3,0,0,0,0,0,0,1,0,4,crc4_8bit_data.v
state,crc4_8bit_data,1,1,4,OTHER,3,0,0,0,0,0,0,1,0,4,crc4_8bit_data.v
